group,Orca_WCT,Orca_Resident,Humpback,Odontoceti,Sea_Lions,Harbour_Seals,Avian_Piscivores,Lingcod,Dogfish,Hake1_0_11,Hake2_juve_12_35,Hake3_mat_36_59,Hake4_old_60up,Pink_Juve,Pink_Adult,Chum_Juve,Chum_Adult,Sockeye_Juve,Sockeye_Adult,Chinook1_H_frsh,Chinook2_H_2_emar1,Chinook3_H_3_emar2,Chinook4_H_4_emar3,Chinook5_H_5_mat,Chinook6_H_6_spwn,Chinook1_WO_frsh,Chinook2_WO_emar1,Chinook3_WO_emar2,Chinook4_WO_emar3,Chinook5_WO_mat,Chinook6_WO_spwn,Chinook7_WO_mori,Chinook1_WS_frsh,Chinook2_WS_emar,Chinook3_WS_mar,Chinook4_WS_spwn,Chinook5_WS_mori,Coho1_H_frsh,Coho2_H_emar,Coho3_H_mar,Coho4_H_spwn,Coho1_W_frsh,Coho2_W_emar,Coho3_W_mar,Coho4_W_spwn,Coho5_W_mori,Herring1_age0,Herring2_juve,Herring3_mat,Offshore_prey,Small_Forage_Fish,ZF1_ICT,ZC1_EUP,ZC2_AMP,ZC3_DEC,ZC4_CLG,ZC5_CSM,ZS1_JEL,ZS2_CTH,ZS3_CHA,ZS4_LAR,PZ1_CIL,PZ2_DIN,PZ3_HNF,Insects,Freshwater_prey,PP1_DIA,PP2_NAN,PP3_PIC,BA1_BAC,BH1_ZOS,BH2-KEL,DET_Close,DET_Real
Orca_WCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052286
Orca_Resident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009159501
Humpback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013376
Odontoceti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328
Sea_Lions,0.0003796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1105004
Harbour_Seals,0.000949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4772816
Avian_Piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8982
Lingcod,0,0,0,0,0.00632544,0.0149408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6779338
Dogfish,0,0,0,0,0.0284592,0,0,0.1642608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03728
Hake1_0_11,0,0,0,0,0,0.02378,0.0241056,0.0056496,0.03186,0,0,0.2128,0.02308275,0.0004488,0,0.000304333,0.01666,0.0004884,0.00252,0,0,8.24E-05,1.29E-05,0.000104164,6.54E-05,0,0.00012288,0.00091224,0.000189888,0.002060814,0.000717206,0,0,0.0006944,0.000124315,3.69E-05,0,0,4.78E-07,8.84E-07,1.46E-06,0,0.000306,0.000407865,0.000157222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8648314
Hake2_juve_12_35,0,0,0,0.24,0.0143352,0.2436464,0,0.0413688,0,0,0,0,1.214882,0,0.043416,0,0.0294,0,0.0378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.861204
Hake3_mat_36_59,0,0,0,0.24,0.01201728,0.2042064,0,0.0346896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54398
Hake4_old_60up,0,0,0,0.128,0.02813712,0.4781984,0,0.0812064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.818687
